artist,title,total_streams,bot_streams,flagged_days,total_days,max_spike_ratio,avg_rolling_cv,drop_after_spike_count,bot_pct,confidence,flag_reasons,note
Quavo,LAMB TALK,2059395.0,0.0,0,9,1.5251627189774635,0.14254472324324777,0.0,0.0,4.6,—,
Quavo,LOSE IT (feat. Lil Baby),8671959.0,0.0,0,19,0.955300748799404,0.29162025342335957,0.0,0.0,2.9,—,
Quavo,PASS OUT (feat. 21 Savage),20870526.0,0.0,0,21,0.9095695152184248,0.32497541332462804,0.0,0.0,2.7,—,
Quavo,RERUN (feat. Travis Scott),2372762.0,0.0,0,5,0.7179228446051129,0.6630499046370433,0.0,0.0,2.2,—,
Quavo,WORKIN ME,115157885.0,0.0,0,166,3.551554578126689,0.12450183127585202,0.0,0.0,10.7,—,
Queen,Another One Bites The Dust - Remastered 2011,406581104.0,0.0,0,445,1.779502128111801,0.06795826117152369,0.0,0.0,5.3,—,
Queen,Bohemian Rhapsody - Remastered 2011,980320562.0,0.0,0,791,1.5278788087595676,0.06621009603953078,0.0,0.0,4.6,—,
Queen,Crazy Little Thing Called Love - Remastered 2011,11526709.0,0.0,0,18,1.1124756498469537,0.06708353733335785,0.0,0.0,3.3,—,
Queen,Don't Stop Me Now - Remastered 2011,458550797.0,0.0,0,472,1.8178121879826186,0.08935913519840934,0.0,0.0,5.5,—,
Queen,I Want To Break Free - Single Remix,529091.0,0.0,0,1,0.9536705193456073,0.06293726769349305,0.0,0.0,2.9,—,
Queen,Killer Queen - Remastered 2011,44602367.0,0.0,0,51,1.2916194129022642,0.10671009343248396,0.0,0.0,3.9,—,
Queen,Love Of My Life - Remastered 2011,1237694.0,0.0,0,2,1.074245535612988,0.05962399063759247,0.0,0.0,3.2,—,
Queen,Radio Ga Ga - Live Aid,4367971.0,0.0,0,7,1.0224019512464169,0.0624146794498251,0.0,0.0,3.1,—,
Queen,Somebody To Love - Remastered 2011,137042951.0,0.0,0,149,1.5288971644950546,0.06951532666491919,0.0,0.0,4.6,—,
Queen,Thank God It's Christmas - 2011 Remaster,6525895.0,0.0,0,5,2.320732494894616,0.22765299557005472,0.0,0.0,7.0,—,
Queen,Thank God It's Christmas - Non-Album Single,15828144.0,0.0,0,13,2.5881834531148433,0.5529197319916658,0.0,0.0,7.8,—,"🚀 Release-window ramp — likely legitimate launch, not fraud"
Queen,We Are The Champions - Remastered 2011,13376947.0,0.0,0,21,1.0923416460353697,0.03927626958104519,0.0,0.0,3.3,—,
Queen,We Will Rock You - Remastered,112446906.0,0.0,0,149,1.1469928900805408,0.054762782440112075,0.0,0.0,3.4,—,
Queen,We Will Rock You - Remastered 2011,1537666.0,0.0,0,7,1.1086491911129281,0.06544439341339299,0.0,0.0,3.3,—,
"Queen, David Bowie",Under Pressure - Remastered 2011,272294487.0,0.0,0,343,1.3593136609916658,0.06990581497734932,0.0,0.0,4.1,—,
R. Kelly,Ignition - Remix,912382.0,0.0,0,5,1.1949025070045858,0.11846734222346651,0.0,0.0,3.6,—,
"R3HAB, A Touch Of Class",All Around The World (La La La),110757401.0,0.0,0,106,1.4544616752247443,0.08794695426117383,0.0,0.0,4.4,—,
RAF Camora,Adriana,1887089.0,0.0,0,3,0.8724496410156111,0.2772332134087525,0.0,0.0,2.6,—,
RIN,UP IN SMOKE,1312377.0,0.0,0,2,0.8909315464568213,0.15771424170484968,0.0,0.0,2.7,—,
RIN,Vintage,1304810.0,0.0,0,2,0.8898232188153948,0.1838806222975135,0.0,0.0,2.7,—,
"RIN, Bausa",Keine Liebe,4522306.0,0.0,0,6,0.9673187678229772,0.16032686633441287,0.0,0.0,2.9,—,
ROSALÍA,Aute Cuture,5198331.0,0.0,0,7,0.9235812670798302,0.16092304133552077,0.0,0.0,2.8,—,
ROSALÍA,Milionària,2570455.0,0.0,0,4,0.933297261000298,0.15293146707010263,0.0,0.0,2.8,—,
ROSALÍA,TKN (feat. Travis Scott),177818311.0,0.0,0,104,1.1656624157803535,0.08323660336301283,0.0,0.0,3.5,—,
"ROSALÍA, J Balvin, El Guincho",Con Altura,398793827.0,0.0,0,320,1.3467869366080696,0.06565264428022724,0.0,0.0,4.0,—,
"ROSALÍA, Ozuna","Yo x Ti, Tu x Mi",249638568.0,0.0,0,181,1.2097148068628754,0.07104635103636302,0.0,0.0,3.6,—,
Rae Sremmurd,No Type,5010357.0,0.0,0,32,1.1059122703713529,0.05621925800739018,0.0,0.0,3.3,—,
Rae Sremmurd,Perplexing Pegasus,28689269.0,0.0,0,26,1.047542619339134,0.06658293199117661,0.0,0.0,3.1,—,
Rae Sremmurd,Swang,254402688.0,0.0,0,238,1.1892069816528805,0.07326999773082632,0.0,0.0,3.6,—,
Rae Sremmurd,T'd Up,2297857.0,0.0,0,6,1.3240487756044281,0.6132141133006507,0.0,0.0,4.0,—,
"Rae Sremmurd, Gucci Mane",Black Beatles,241424917.0,0.0,0,230,1.6590466879108217,0.09539645112678928,0.0,0.0,5.0,—,
"Rae Sremmurd, Slim Jxmmi, Pharrell Williams",Chanel (feat. Swae Lee & Pharrell) - From Jxmtro,645956.0,0.0,0,3,0.9316881700311702,0.22509758845884068,0.0,0.0,2.8,—,
"Rae Sremmurd, Swae Lee",Guatemala (feat. Slim Jxmmi) - From Swaecation,15818821.0,0.0,0,20,1.1973146833534907,0.3468744423812023,0.0,0.0,3.6,—,
"Rae Sremmurd, Swae Lee, Slim Jxmmi",Bedtime Stories (feat. The Weeknd) - From SR3MM,423458.0,0.0,0,2,0.45685672098601615,1.0531127101641269,0.0,0.0,1.4,—,
"Rae Sremmurd, Swae Lee, Slim Jxmmi",CLOSE (feat. Travis Scott) - From SR3MM,19755117.0,0.0,0,34,3.965738675780423,0.5818720519791579,0.0,0.0,11.9,—,"🚀 Release-window ramp — likely legitimate launch, not fraud"
