artist,total_streams,bot_streams,flagged_days,total_days,years_active,max_spike_ratio,drop_events,bot_pct,confidence,flag_reasons,note,holiday_flag_share
Summer Walker,92481939.0,973203.0,1,199,2,2.656635484716321,0.0,1.1,8.2,"velocity_spike, seasonal_spike",,0.0
Surf Mesa,414839705.0,0.0,0,194,2,1.3452673823512047,0.0,0.0,4.0,—,,0.0
Surfaces,575525029.0,948405.0,1,263,2,2.4014157911295495,0.0,0.2,7.4,—,,0.0
Swae Lee,3375565324.0,7647260.0,3,1570,5,3.965738675780423,3.0,0.2,12.0,"velocity_spike, seasonal_spike, drop_after_spike",,0.33
Swizz Beatz,81440203.0,0.0,0,132,2,1.1117708144333478,0.0,0.0,3.3,—,,0.0
THE SCOTTS,434386324.0,0.0,0,157,2,3.0115823481945343,2.0,0.0,9.4,—,,0.0
TOKYO’S REVENGE,90754519.0,0.0,0,134,2,2.3579135962012856,0.0,0.0,7.1,—,,0.0
TOTO,331008755.0,0.0,0,457,3,1.438790891932507,0.0,0.0,4.3,—,,0.0
TWICE,82712000.0,0.0,0,101,3,1.1032121045126482,0.0,0.0,3.3,—,,0.0
Tainy,1104333159.0,0.0,0,645,2,1.5009752697889827,0.0,0.0,4.5,—,,0.0
Tame Impala,292974031.0,5595748.0,7,472,3,3.570978097277733,7.0,1.9,11.8,"velocity_spike, seasonal_spike, drop_after_spike",,0.43
Tate McRae,215540490.0,0.0,0,104,2,1.2976092800417665,0.0,0.0,3.9,—,,0.0
Taylor Swi,2977726559.0,64585874.0,17,2092,5,3.1207573983427506,2.0,2.2,9.7,"seasonal_spike, velocity_spike, plateau_low_variance",,0.12
Tee Grizzley,102694067.0,0.0,0,430,3,1.8117066570103695,0.0,0.0,5.4,—,,0.0
Thalia,109454849.0,0.0,0,131,2,1.122738046842456,0.0,0.0,3.4,—,,0.0
The Chainsmokers,4988483529.0,29028003.0,9,4016,5,2.479602329390046,0.0,0.6,7.5,"seasonal_spike, velocity_spike, plateau_low_variance",,0.0
The Creator,622252047.0,4853941.0,1,908,5,3.963555522701592,1.0,0.8,12.0,"seasonal_spike, plateau_low_variance",,0.0
The Greatest Showman Ensemble,231528473.0,0.0,0,252,2,1.2869219824271343,0.0,0.0,3.9,—,,0.0
The Kid LAROI,331601675.0,8264981.0,1,261,2,2.9029957978049286,0.0,2.5,8.9,"seasonal_spike, plateau_low_variance",,0.0
