artist,genre_category
Darius Rucker,Country
Darkrose,Other
Darren Korb,Other
Dasha,Other
Daughter,Other
Daughtry,Other
Dave,Other
Dave Matthews Band,Other
Dave Porter,Other
Daveedtheking,Other
David Arkenstone,Other
David Arnold,Other
David Arnold & Michael Price,Other
David Ferguson,Other
David García Díaz,Other
David Guetta,EDM / Electronic
David Kushner,Other
David Newman,Other
Daya,Other
Daya Blaze,Other
Dayglow,Rock / Alternative
De La Soul,Hip Hop / Rap
DeBarge,Other
DeJ Loaf,Other
Dean Lewis,Other
Death Plus,Hip Hop / Rap
DeathbyRomy,Other
Declan McKenna,Other
Deep Chills,EDM / Electronic
Deep Inside,Other
Deep Purple,Rock / Alternative
Deftones,Rock / Alternative
Delaney Bailey,Other
Delinquent Habits,Hip Hop / Rap
Demi Lovato,Other
Denez Prigent,Other
Dennis Lucca,Other
Denzel Curry,Other
Deorro,Other
Depeche Mode,Other
Derek & The Dominos,Rock / Alternative
Dermot Kennedy,Other
Desiigner,Other
Destiny's Child,Other
Destroy Boys,Other
Diamond Rio,Country
Diamond Thug,Other
Diana Ross,Other
Dianna Lopez,Other
Dici,Other
Dick Dale,Rock / Alternative
Diddy - Dirty Money,Other
Dido,Other
Diego Mitre,Other
Dierks Bentley,Country
Diplo,Other
Dire Straits,Rock / Alternative
Disclosure,EDM / Electronic
Disco Lines,EDM / Electronic
Disturbed,Rock / Alternative
Dj Pegamento,Other
Djo,Other
Dmitri Shostakovich,Other
Doc Watson,Other
Doechii,Other
Doja Cat,Other
Dolly Parton,Country
Dominic Fike,Other
Don Diablo,EDM / Electronic
Don Toliver,Other
Donna Missal,Other
Dorothy,Other
Dove Cameron,Other
Dr. Dog,Other
Dr. Dre,Hip Hop / Rap
Drake,Hip Hop / Rap
Dream Chaos,EDM / Electronic
Dream Wife,Other
Dreamville,Other
Drenchill,EDM / Electronic
Dresage,Other
Drew Holcomb & The Neighbors,Other
Dreycee,Other
Dreyma,Other
Dua Lipa,Pop
Dua Saleh,R&B / Soul
Duke Dumont,EDM / Electronic
Duncan Laurence,Other
Duran Duran,Other
Dutch Melrose,R&B / Soul
Dwight Yoakam,Country
Dxvn.,R&B / Soul
Dybbukk,Other
Dylan Tha Only Child,Other
Dynoro,Other
ELECTRA,Other
ELI,Other
ELIH,Other
EMMY,Other
Eagles,Rock / Alternative
Eazy-E,Hip Hop / Rap
Echosmith,Other
Ed Sheeran,Pop
Ed Sheeran & Justin Bieber,Other
Edd Stark,Hip Hop / Rap
Eddie van der Meer,Other
Edward Maya,Other
Egzod,Other
Einar Selvik,Other
Eiza Murphy,Other
El Michels Affair,Other
El Waili,Hip Hop / Rap
Elephant Revival,Other
Eli Young Band,Country
Elita,Other
Eliza Rose,EDM / Electronic
Ella Mai,R&B / Soul
Elle King,Other
Elley Duhé,Other
Ellie Goulding,Other
Elliot,Other
Elliot James Reay,Other
Elliot Sutton,Other
Elliott Smith,Other
Ellise,Other
Elton John,Other
Elvis Drew,R&B / Soul
Ely Oaks,EDM / Electronic
Em Beihold,Other
Emancipator,Other
Emil Rottmayer,Other
Emilio,EDM / Electronic
Emily Osment,Other
Emilíana Torrini,Other
Eminem,Hip Hop / Rap
Emm Nascimento,Other
Emma Louise,Other
Emma Thompson,Other
Empire Of The Sun,Other
Enigma,Other
Ennio Morricone,Other
Enrique Iglesias,Latin
Entheogenic,Other
Enya,Other
Eric B. & Rakim,Hip Hop / Rap
Eric Church,Country
Eric Heitmann,Other
Eric McKenna,Other
Ericovich,Other
EsDeeKid,Other
Eslabon Armado,Other
Estelle,Other
Eternxlkz,Other
Ethel Cain,Other
Europe,Rock / Alternative
Eurythmics,Other
Evan Call,Other
Evan Rachel Wood,Other
Evanescence,Rock / Alternative
Everything But The Girl,Other
Ex Habit,R&B / Soul
ExtraaaVibe,Other
Extreme,Rock / Alternative
Eyedress,Other
FIDLAR,Rock / Alternative
FIFTY FIFTY,Pop
FINNEAS,Other
FIXL,EDM / Electronic
FKA twigs,Pop
Fabiano Abaixo Assinado,Other
Fabolous,Other
Faith Hill,Country
Fall Out Boy,Other
Fameboy BL,Other
Famy,Other
Far East Movement,Other
Farizki,Other
Farruko,Latin
